MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID,distance_pc,M_V,luminosity,B-V,temperature_K
BD+45   463,01 51 44.1139,+46 40 37.896,14,14,0.0306,0.0199,90,A,O,2020yCat.1350....0G,1.894,9.44,9.59,Star,0,0.5279831045406548,15.826899873336272,3.6748536716190664e-05,0.15000000000000036,8571.321931318023
HD  11253,01 51 43.5602,+46 20 19.306,14,14,0.0309,0.0241,90,A,O,2020yCat.1350....0G,2.7875,7.99,7.97,Star,0,0.35874439461883406,15.216074380281086,6.4501564383248e-05,-0.020000000000000462,10381.766605259434
BD+45   468,01 53 17.9284,+46 27 19.289,14,14,0.0194,0.0156,90,A,O,2020yCat.1350....0G,2.7142,9.78,10.1,Star,0,0.36843268734802154,16.948209230797175,1.3083270109711873e-05,0.3200000000000003,7337.079254984821
BD+45   487,01 56 44.3432,+46 31 26.042,14,14,0.0275,0.0198,90,A,O,2020yCat.1350....0G,1.3004,8.74,10.07,Star,0,0.7689941556444171,14.310384804120446,0.0001485409093719915,1.33,4068.520901170092
BD+45   490,01 57 23.6033,+46 27 57.945,14,14,0.0169,0.0119,90,A,O,2020yCat.1350....0G,1.9945,9.48,10.49,HighPM*,0,0.5013787916771121,15.979170203229293,3.193977987494041e-05,1.0099999999999998,4718.856086025702
HD  11838,01 57 25.9026,+46 19 31.691,14,14,0.0329,0.0224,90,A,O,2020yCat.1350....0G,1.6529,9.0,8.98,Star,0,0.6049972775122512,15.091232898341513,7.236137999830899e-05,-0.019999999999999574,10381.766605259425
HD  11893,01 57 59.1879,+46 28 20.380,14,14,0.0211,0.0155,90,A,O,2020yCat.1350....0G,2.4283,8.52,9.6,Star,0,0.41181073178767036,15.446511699281583,5.216693490623457e-05,1.08,4558.520175773521
BD+45   429,01 43 49.2771,+45 59 06.453,14,14,0.0154,0.0106,90,A,O,2020yCat.1350....0G,1.672,9.81,10.98,Star,0,0.5980861244019139,15.926181365514989,3.353725042516624e-05,1.17,4368.44640044032
BD+45   430,01 44 02.3934,+45 45 53.263,14,14,0.0144,0.0115,90,A,O,2020yCat.1350....0G,1.5121,9.99,11.23,Star,0,0.6613319224918986,15.887902566977047,3.4740732660525425e-05,1.2400000000000002,4231.711066537304
HD  10597,01 44 26.5266,+46 08 22.892,14,14,0.0377,0.0231,90,A,O,2020yCat.1350....0G,5.4445,6.31,7.74,Star,0,0.1836715951878042,14.989790010714625,7.944818784444401e-05,1.4300000000000006,3901.9253220718674
BD+45   444,01 46 40.2172,+45 51 02.219,14,14,0.0181,0.0139,90,A,O,2020yCat.1350....0G,2.7353,8.68,9.65,Star,0,0.36559061163309325,15.865024827386517,3.5480527585539064e-05,0.9700000000000006,4815.940934665448
BD+45   445,01 46 54.5178,+46 14 10.898,14,14,0.015,0.0119,90,A,O,2020yCat.1350....0G,1.6579,9.93,11.07,Star,0,0.603172688340672,16.02779165773612,3.0541005900436076e-05,1.1400000000000006,4429.929224934341
BD+45   446,01 47 21.6070,+45 49 28.346,14,14,0.0164,0.0129,90,A,O,2020yCat.1350....0G,2.2442,8.91,9.92,Star,0,0.44559308439533013,15.665307790161915,4.2645860695397375e-05,1.0099999999999998,4718.856086025702
HD  10874,01 47 48.0144,+46 13 47.095,14,14,0.0293,0.0308,90,A,O,2020yCat.1350....0G,18.4995,6.317,6.761,HighPM*,0,0.054055515013919295,17.652799952778466,6.837227313516711e-06,0.44399999999999995,6654.286202145474
