MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID
BD+58  2274,21 30 00.3995,+58 55 14.698,14,14,0.0097,0.0096,90,A,O,2020yCat.1350....0G,2.5308,9.73,10.29,Star,0
BD+58  2287,21 33 37.1635,+58 52 11.895,14,14,0.0177,0.0203,90,A,O,2020yCat.1350....0G,2.2143,9.96,10.28,SB*,0
BD+57  2369,21 41 12.7024,+57 46 30.188,14,14,0.0212,0.0249,90,A,O,2020yCat.1350....0G,1.0995,9.93,9.94,Star,0
BD+57  2328,21 27 22.3601,+58 35 19.451,10,10,16.0,15.0,90,B,O,2012yCat.1322....0Z,,9.898,10.436,**,0
HD 204400,21 26 12.5402,+56 30 32.523,14,14,0.0139,0.0147,90,A,O,2020yCat.1350....0G,3.0757,7.81,9.25,Star,0
HD 204709,21 28 24.7132,+56 23 28.101,14,14,0.0671,0.0624,90,A,O,2020yCat.1350....0G,2.4646,7.84,9.06,SB*,0
HD 239671,21 27 13.4201,+56 12 30.192,14,14,0.0859,0.0887,90,A,O,2020yCat.1350....0G,0.806,9.01,9.49,Star,0
HD 239680,21 28 47.6254,+56 01 26.029,14,14,0.0088,0.0087,90,A,O,2020yCat.1350....0G,4.4326,9.43,9.92,Star,0
BD+56  2557,21 19 39.5055,+57 22 44.966,14,14,0.0089,0.0097,90,A,O,2020yCat.1350....0G,2.1428,9.55,10.64,Star,0
TYC 3975-1456-1,21 36 37.2840,+56 38 52.626,14,14,0.0104,0.0096,90,A,O,2020yCat.1350....0G,1.8447,9.99,11.16,Star,0
HD 239798,21 55 04.5232,+58 03 53.449,14,14,0.0078,0.0094,90,A,O,2020yCat.1350....0G,2.3864,9.59,10.71,Star,0
HD 206536,21 40 32.4470,+59 45 09.915,14,14,0.0172,0.0178,90,A,O,2020yCat.1350....0G,6.069,6.88,7.9,HighPM*,0
BD+59  2414,21 44 31.3122,+60 04 16.103,14,14,0.0115,0.0115,90,A,O,2020yCat.1350....0G,1.774,9.83,11.72,Star,0
